# problem_id;phase_id_dep;problem_description;choice_a;outcome_a;voice_a;choice_b;outcome_b;voice_b;character_img_id;background_img_id

#==TECHNICAL_PROBLEM
# A=speed-,visibility+  B=speed+, visibility-
RECORDING_ISSUE;REGISTER_VOICE;Tu découvres que ton micro a buggé, et ton enregistrement sur $GAME est inaudible.;Recommencer l'enregistrement;Ton texte sur $GAME est bien rodé maintenant, mais tu y passes l'aprèm.;PFFFF;Utiliser un vieux backup;La qualité est bof, mais tu gagnes du temps.;JE-MEN-FOUT;PLOUF_HESITE;BACK_BUREAU
DOGMA_PION;;Ton pion sur Dragon's Dogma 2 devient viral, tu ne savais pas trop ce que tu faisais, tu avais juste tenté de refaire Pseudoless un peu à l'arrache;Envoyer un email à Capcom;Capcom l'adore et le rajoute en micro transaction à Ace attorney, Madame adore son nouvel avocat!;;Le supprimer;Pseudo n'avait pas encore eu le temps de le voir, et vu le résultat, valait mieux qu'il ne le voit pas en fait;;PLOUF_DARK;BACK_RUE_RUINE



#==NEGLICT_PHISICAL_NEED
# A=rythm+,creativity-       B=rythm-,creativity+
MEAL_BREAK;;Il est 14h, tu n’as toujours pas mangé.;Se faire un tacos sur le pouce;Tu perds en énergie mais gagnes du temps.;DE-LA-MERDE;Faire une vraie pause;Tu cuisines, tu te poses, tu repars frais.;EXCELLENTE-IDEE;PLOUF;BACK_CUISINE
TOO_MUCH_SCREEN;;Tu commences à avoir mal aux yeux.;Boire un café;Tu fonces… droit dans la fatigue.;JE-VAIS-PAS-MEN-SORTIR;Faire une sieste;Tu dors 20 minutes. Renaissance.;;PLOUF_FATIGUE;BACK_CUISINE
BURNOUT_FEELING;;Tu sens que tu craques, mais tu veux finir ton planning.;Continuer coûte que coûte;Tu avances sur $GAME, mais à quel prix ? Tu t’effondres le soir venu. Les vacances sont encore loin?;;Faire une pause;Tu te recentres, et retrouves un peu équilibre. Vivement les vacances ceci-dit!;;PLOUF_DARK;BACK_CHAMBRE
NIGHT_EDITING;MOUNT_CHRONIQUE_VIDEO;Il est minuit. Tu n’as pas fini le montage de $GAME.;Continuer;Tu finis à 3h. Tu tiens avec du Mountain Dew, tes reins trinquent plus que toi.;JE-VAIS-PAS-MEN-SORTIR;Dormir et reprendre demain;Tu es plus frais mais jeudi 18h semble très proche.;;PLOUF_HESITE;BACK_CHAMBRE
GAMER_ILLNESS;PLAY_CHRONIQUE_GAME;Tu es malade après avoir joué 10h sans pauses à $GAME.;Continuer à jouer;Tu réussis à finir $GAME, mais tu te sens épuisé.;ON-EST-VIEUX;Reposer quelques heures;Tu reprends $GAME après une bonne nuit.;TRAITER-DE-FEIGNASSE;PLOUF_FATIGUE;BACK_CHAMBRE


#==TOO_LONG_GAME
# A=creativity+,rythm-        B=creativity-,rythm+
GAME_TOO_LONG;PLAY_CHRONIQUE_GAME;Horreur: $GAME est deux fois plus long qu'affiché sur How Long To Beat.;Assumer;Bon soit. Tu skiperas peut être une quête secondaire ou deux, mais tu comptes bien voir le plus gros de $GAME.;PAS-ETE-VAIN;Rusher le jeu;Tu prends de (gros) raccourcis. La vidéo sera moins complète mais au moins elle sera à l'heure.;PLUTOT-UN-BON-DEAL;PLOUF_JEU_MORT;BACK_RUE_RUINE
PSEUDOLESS_DECIDE;;Pseudoless t’annonce le jeu du podcast : il se venge enfin des podcast de Noël: Persona 5.;Commencer à y jouer tout de suite;Tu prends de l’avance, mais dit adieu à ta soirée (spoiler: et aux suivantes).;;Tu supplie Pseudo de changer;Tu t'excuse ventre à terre pour tous les mois de décembre que tu lui as ... proposés. Dans sa grande bonté il t'excuse et change sur Resident Evil 4 pour se faire pardonner du stress (mais tu te dis que ça se trouve refaire le 6 en décembre ne serait pas une mauvaise idée en fait);TOUT-CELA-VA-MENER;PSEUDO;BACK_PODCAST
PSEUDOLESS_DEADLINE;PLAY_CHRONIQUE_GAME;On est le lundi du post du Podcast, tu n'as pas monté sa vidéo, et 13h arrive bientôt, mais tu n’as pas fini de jouer à $GAME.;Switcher sur le montage vidéo du\n podcast;Tu retrouves tes rushs du jeu et hop, la vidéo est proche.;;Continuer de jouer;Les patreons auront la vidéo en retard, ça leur fera une excuse pour l'écouter une seconde fois.;;PSEUDO;BACK_PODCAST
TOO_MANY_GAMES;CHOOSE_CHRONIQUE_GAME;On est en novembre donc... oui c'est l'embouteillage de fin d'année qui est là;Tout tester;Tu survoles 5 jeux, mais 5*10h ça fait quand même 50h, ça va être chaud d'être près pour le jeudi d'après alors qu'on est... mercredi.;SACRE-EMBOUTEILLAGE;Faire confiance à son instinct;Tu choisi $GAME et focus dessus, ça ne sera peut être pas le meilleur jeu, mais au moins le timing sera ok.;SACRE-EMBOUTEILLAGE;PLOUF_HESITE;BACK_EMBOUTEILLAGE
PSEUDO_TALK_TOO_MUCH;;Plouf vient de recevoir la Switch 2 juste avant le podcast avec Pseudo et à hâte de la déballer, mais ce dernier n'arrête pas de trouver des points à traiter sur le jeu;La Switch 2 attendra;Faut avouer que les points soulevés par Pseudo vont pertinents, la Switch2 et Mario Kart attendront;;Couper court;Plouf simule une panne de caméra et file déballer sa Switch 2 en douce;;PSEUDO;BACK_PODCAST



#==REDO_BAD_WORK
# A=creativity+,rythm-        B=creativity-,rythm+
REVIEW_NOT_FUNNY;WRITE_CHRONIQUE;Tu relis ton script : aucune blague sur $GAME ne fonctionne.;Réécrire tout;Tu reprends à zéro. C’est long, mais tu retrouves ton style.;;Garder comme ça;Ca fera une vidéo “meh”, mais ça passe, et puis ça va bien avec $GAME.;TUT-TUT-LES-RAGEUX;PLOUF_HESITE;BACK_BUREAU
ANIMATION_BLOCK;ANIMATE_CHRONIQUE;Tu galères à animer un passage où tu te fais écraser par un mob de $GAME.;Reprendre depuis le début;Tu perds du temps mais le rendu est bien meilleur.;;Garder l’anim moyenne;Tu passes à autre chose. Pas dit que les viewers vont comprendre la blague.;TRAITER-DE-FEIGNASSE;PLOUF_JEU_MORT;BACK_RUE_RUINE
SOUND_AMBIANCE;REGISTER_VOICE;Un oiseau chante trop fort à la fenêtre à côté du bureau.;Réenregistrer plus tard;Tu attends. Mais ça repousse ton planning.;;Garder le bruit;Tu fais une vanne dessus dans les commentaires.;;PLOUF_COLERE;BACK_MAISON
REHEARSE_SCRIPT;;Tu bloques sur une phrase compliquée avec une blague sur le volcan Eyjafjallajökull.;Faire 15 prises;Tu t’énerves un peu, mais c’est fluide au final. Bon c'était pas la meilleure idée du siècle en fait.;JE-PEUX-ME-PLAINDRE-TOUTE-LA-JOURNEE;Changer la phrase;Tu vires ce fichu volcan. C’est plus clair, mais moins drôle.;VA-BOUFFER-TES-GRANDS-MORTS;PLOUF_COLERE;BACK_BUREAU
COFFEE_SPILL;DRAW_CHRONIQUE;Tu renverses ton café sur ton carnet de croquis sur $GAME.;Te refaire un autre café et redessiner;Tu acceptes le chaos et te relances, et ça donne au final un résultat encore meilleur.;;Pester pendant 5min mais partir avec ça;Bon tu n'arrives plus à comprendre certains détails qui sont peut-être du café (ou pas) mais tu as assez perdu de temps.;;PLOUF_FATIGUE;BACK_CUISINE
SILENT_HILL_DISTORSION;MOUNT_CHRONIQUE_VIDEO;Pendant le montage de Silent Hill 2 tes séquences s'altèrent toutes seules avec du bruit, du flou et des distorsions;Tu redessines tout;Tes assets étant devenus maudis, tu les jettes et tu redessines tout. Ca te prends des jours et des jours, mais les vieux assets en sortent améliorés;MALIN;Garder les "effets";Tu gagnes du temps, mais désormais tu as l'impression que dans ta vie il y a comme une sorte de "grain" partout, tu te demandes si tu n'es pas téléporté dans... non quand même pas...;TOUT-CELA-VA-MENER;PLOUF_HESITE;BACK_BUREAU
VALIX_TOTK;;Juste avant la sortie de la vidéo sur Zelda TOTK, Valix te dit qu'il a un gros, gros doute sur la miniature prévue, il aimerait la refaire;Faire confiance à Valix;Valix sort de son travail en speed et passe toute la soirée à refaire la miniature. La nouvelle est juste MAGNIFIQUE, tu as eu raison de lui faire confiance;;Prendre celle que tu as déjà;Tu trouves que celle prévue n'est "pas si mal" et tu sors la vidéo avec celle là. Personne ne clic sur la vidéo car ils n'ont pas reconnu Link. Ok, Valix avait clairement raison en fait;;PLOUF_HESITE;BACK_CANAPE



#==ATTACK_FROM_SOMEONE_ON_INTERNET
# A=creativity-,visibility+      B=creativity+,visibility-
YOUTUBE_COMMENT;ANSWER_CHRONIQUE_COMMENTS;Un internaute te traite de vendu (oui y a de sacrés c*ns sur internet quand même).;Répondre avec sarcasme;Tu gagnes des likes, mais ça te trotte en tête pendant des heures.;VENGEANCE;L’ignorer;Tu ne t’embarques pas là-dedans.;RIEN-A-BATTRE;FANBOY;BACK_MAISON
COMMENT_MECHANT;UPLOAD_CHRONIQUE_VIDEO;Un viewer t’insulte gratuitement sous la vidéo de Resident Evil 6 car LUI avait aimé.;L’ignorer;Tu fais semblant que ça ne te touche pas. Mais tu rumines.;;Répondre calmement;Tu poses une limite claire avec une réponse argumentée (qui reprends point par point la vidéo...). Mais il ne comprends rien et appelle d'autres fanboys...;;FANBOY;BACK_MAISON
TWITTER_THREAD;;Un thread Twitter s’emballe sur l’un de tes propos sur $GAME.;Faire une vidéo réponse;Tu clarifies ta pensée, mais ça prend du temps.;;Ignorer et continuer à créer;Tu restes focus, mais ton compte twitter se fait harceler de bots.;RIEN-A-BATTRE;FANBOY;BACK_MAISON
TROLL_RAID;STREAM_POST_CHRONIQUE;Ton stream se fait attaquer par des trolls.;Bannir et continuer;Dur à gérer, mais aidé par Léa et Pompier, vous gèrez ça comme des pros, tes viewers te soutiennent.;;Stopper le live;Tu coupes, choqué, mais l'esprit protégé.;;FANBOY;BACK_MAISON
DISCORD_SPAM;;Ton serveur est envahi de bots pendant la nuit.;Tout modérer toi-même;Tu règles le souci, mais perds ta matinée.;;Demander à Léa et Pompier;Tu délègues. Tu peux souffler mais on dirait qu'ils y ont été trop directement. Oups.;UN-PEU-ENNUYEU;FANBOY;BACK_MAISON
TWITTER_DRAMA;;Un influenceur te cite en se moquant d’un de tes dessins.;Répondre avec humour;Ta répartie fait mouche, et tu as gagné une grosse partie de ses abonnés. Mais ça t’a pompé.;;Ignorer;Tu continues ta journée sans t'énerver.;;PLOUF_COLERE;BACK_BUREAU
CHAT_SPOILERS;STREAM_POST_CHRONIQUE;Un membre du chat te spoil la fin du jeu de la prochaine chronique que tu venais juste d'annoncer.;Tu en rigoles;Heureusement c'était le prochain Mario, donc savoir que le royaume Champignon est brulé à la fin du jeu n'a que peu d'impact sur le gameplay. Mais tu te dis que ça reste un drôle de choix de la part de Nintendo quand même.;;Tu demandes à Léa de s'en "occuper";Ta modératrice ne fait pas dans la dentelle, et on entends les cri du spoilers en echo sur le chat. Pas de pitié avec les spoilers, que ce soit la fun de l'histoire du prochain Mario n'y change rien!;VA-BOUFFER-TES-GRANDS-MORTS;FANBOY;BACK_MAISON
SONY_FANS;ANSWER_CHRONIQUE_COMMENTS;Ta vidéo sur l'échec de la PS5 a reveillé les fans hardcore de Sony et t'inondent de commentaires haineux;Répondre en citant tes sources;Ils battent en retraite, mais tu as perdu 3h dans l'histoire;;Ignorer les haters;Ton public ne comprends pas pourquoi tu laisses des âneries être dit dans les commentaires;;FANBOY;BACK_MAISON


#==SUCESS_ON_INTERNET
# A=creativity-,visibility+      B=creativity+,visibility-
LITTLE_SUCCESS;;Vidéo précédente atteint 200k vues !;Faire une annonce joyeuse;Tu savoures et partages la joie.;JAIME-BIEN-MON-TRAVAIL;Garder la tête froide;Tu continues sans rien dire, concentré sur $GAME.;;PLOUFMAN;BACK_PLOUFCAVE
TIKTOK_TREND;;Un extrait d’une de tes vieilles chroniques (c'était sur Pokemon Ecarlate et Violet) devient viral.;Le commenter en short youtube;Tu surfes sur la vague et gagnes des abonnés.;;Ignorer;Tu continues ta routine et focus sur $GAME.;;PLOUFMAN;BACK_BUREAU




#==DO_STREAM
# A=visibility+,rythm-        B=visibility-,rythm+
STREAM_IMPROMPTU;;Un fan enthousiaste t’invite à participer à un stream collaboratif ce soir à 21h. Tu n'avais rien prévu, mais ça peut être cool.;Accepter le stream;Tu acceptes ! C'est fun, ça fait découvrir ta chaîne à d'autres, mais tu dors à 2h du mat.;;Refuser poliment;Tu refuses. Dommage pour la visibilité, mais tu avances sur ton test.;;PLOUF_HESITE;BACK_BUREAU


#==CONVENTION
# A=visibility+,rythm-        B=visibility-,rythm+
BOREALIS_EMAIL;;Un salon de jeux indés à Vienne t’invite, mais ça va te prendre le week-end en entier.;Accepter;Tu découvres plein de pépites et des devs cools.;JAIME-BIEN-MON-TRAVAIL;Refuser;Tu gagnes du temps pour ta vidéo.;;PLOUF_HESITE;BACK_MAISON
FESTIVAL_COMICS;;Un festival BD a lieu ce week-end dans ta ville.;Y aller;Tu rencontres des artistes, et ça t’inspire.;JAIME-BIEN-MON-TRAVAIL;Rester bosser;Tu avances ton épisode, mais tu rates des moments uniques.;;PLOUF;BACK_PLAGE


#==BAD_SPONSOR
# A=visibility+,rythm-        B=visibility-,rythm+
SPONSOR_EMAIL;UPLOAD_CHRONIQUE_VIDEO;Une marque de boisson "Hol*" t’écrit pour sponsoriser ta prochaine vidéo d'analyse. Le mail est arrivé dans les spams.;Répondre dans la foulée;Tu assures le partenariat, mais tu dois bosser tard pour intégrer la pub avec Gros nounours qui bois trop de soda.;PLUTOT-UN-BON-DEAL;Laisser pour demain;Tu dors, mais le sponsor va peut-être se rétracter.;;EDITOR;BACK_EDITEUR
SPONSOR_NOT_FUNNY;WRITE_CHRONIQUE;Le sponsor d'une vidéo d'analyse n'est pas fan de Gros nounours, et demande un script plus sérieux.;Jouer le jeu corporate;Tu encaisses, mais ça te frustre de ne pouvoir placer Gros nounours.;;Négocier;Tu négocies et gardes ton ton, mais la marque va moins parler de ta vidéo sur Twitter.;PFFFF;EDITOR;BACK_EDITEUR


#==BAD_SCHEDULE
# A=rythm+,creativity-       B=rythm-,creativity+
UPLOAD_TOO_LATE;UPLOAD_CHRONIQUE_VIDEO;Il est 18h mais il manque quelques sons au montage de $GAME.;Publier quand même;Tu assures la deadline, mais quelques blagues fonctionnent moins bien.;;"When it's done";Tu fini la vidéo d'abord, la vidéo sort à 21h et tu stresses en pensant à l’algorithme de Youtube.;;PLOUF;BACK_BUREAU
LAST_MINUTE_EDIT;UPLOAD_CHRONIQUE_VIDEO;Tu te rends compte que tu as oublié une scène importante de $GAME.;Laisser comme ça;Tu publies. Mais tu sais que tu pouvais faire mieux.;;La rajouter et republier;Tu offres une version plus complète. Les fans apprécient l’effort.;;PLOUF_HESITE;BACK_BUREAU
SLEEP_IN;WRITE_CHRONIQUE;Grosse soirée, tu te lèves à 11h, explosé.;Tenter de rattraper le retard;Tu rushes ta matinée. L’angoisse monte.;TETE-DANS-FONDEMENT;Commencer mollo;Tu prends le temps de petit-déjeuner et d’émerger.;TETE-DANS-FONDEMENT;PLOUF_FATIGUE;BACK_CUISINE
DEADLINE_MELTDOWN;;Tu réalises que tu n’as plus de temps pour tout faire.;Continuer malgré tout;Tu forces le travail et as une fin de journée chaotique.;;Prendre une pause;Tu récupères de l’énergie, mais tu manques des deadlines.;;PLOUF_RETARD;BACK_BUREAU


#==LOOKING_FOR_QUALITY
# A=rythm+,creativity-       B=rythm-,creativity+
VIDEO_ANALYSIS_IDEA;WRITE_CHRONIQUE;Tu as une fulgurance : et si tu faisais une vidéo analyse sur la boucle de gameplay de Pong?;Focus sur ce que tu faisais;Tu oublies vite cette idée. La vidéo serait bien trop longue.;;Tu arrêtes tout et commencer à l’écrire;Tu poses des idées brutes, ça fuse !;;PLOUF_HESITE;BACK_CANAPE
LAUNCH_WEEK;UPLOAD_CHRONIQUE_VIDEO;La sortie de la chronique $GAME est imminente, mais l'interface de youtube semble...cassée?;Uploader quand même la vidéo;La vidéo est prêt à 18h, mais... Youtube était bien cassée, la vidéo est en vitesse 1.5x.;DE-LA-MERDE;Reporter l’upload à 19h;Tu attends un peu que Youtube revienne à un état normal, mais tu manques la sortie de 18h.;;PLOUF_RETARD;BACK_CANAPE
SWITCH_NEW_GAME;DRAW_CHRONIQUE;Un nouveau Mario Paper sort aujourd’hui en shadow drop! Maudit Nintendo.;Le laisser de côté;Tu te tiens à ton plan. Tu le savoureras plus tard.;JE-VAIS-PAS-MEN-SORTIR;Y jouer tout de suite;Tu t’éclates, mais perds une journée.;;PLOUF_JEU_MORT;BACK_CUISINE
YOUTUBE_ALGO;STREAM_POST_CHRONIQUE;Youtube te snobe, la vidéo sur $GAME stagne à 12k vues.;Ne rien changer;Tu assumes. Le bouche-à-oreille fera le reste.;;Changer la miniature;Tu tentes un truc absurde. Ça marche !;;PLOUFMAN;BACK_PLOUFCAVE


#==ADMINISTRATIVE_TASK
# A=rythm+,visibility-     B=visibility+,rythm-   
INBOX_OVERLOAD;;Ta boîte de réception explose, les différents ministères semblent avoir lancé un défi à celui qui t'envoie le plus de relances.;Tout traiter;Tu y passes la soirée entière,  moins de charge mentale après mais le stream tombe à l'eau.;;Laisser pour demain;Tu procrastines… et tu stresses, mais tu as le temps de streamer.;;PLOUF_HESITE;BACK_CANAPE
STRIKE_YOUTUBE;STREAM_POST_CHRONIQUE;Ta vidéo $GAME est démonétisée pour une raison absurde.;Faire appel;Tu récupères la monétisation, mais dans 48h. Plus le temps de streamer.;;Râler sur Twitter;Ton public te soutient, mais tu perds du temps à gérer les commentaires.;;EDITOR;BACK_EDITEUR
HOUSE_WORK;;Un artisan doit venir réparer une fuite chez toi à 14h alors que tu devais streamer les Game Awards.;Attendre avec ton ordi;Tu bosses en l’attendant, mais streamer dans ces conditions c'est mort.;;Décaler à demain;Tu réorganises ton planning pour demain, mais au moins le stream peu se faire aujourd'hui, mais dans la catégorie "Bath tub".;;PLOUF;BACK_CUISINE


#==VIEWERS_CHOOSE_GAME
# A=visibility+,creativity-       B=visibility-,creativity+
VIEWER_POLL;CHOOSE_CHRONIQUE_GAME;Tu as proposé à ta communauté de voter pour le prochain jeu à tester (mauvaise idée).;Suivre le choix populaire et jouer\n à "Daikatana";Tu joues(aka souffre) sur "Daikatana", les viewers adorent ton calvaire et font des memes entre tes cris et ceux du JDG..;JE-DETEST-CA;Changer discrètement les résultats\n (pour Stray);Tu optes pour "Stray", certains fans râlent, mais les potis chats ça marche toujours.;;PLOUF_HESITE;BACK_BUREAU
VIEWER_BET;PLAY_CHRONIQUE_GAME;Tes viewers parient que tu ne finiras pas "Getting Over It".;Accepter le défi;Tu y passes 8h, ta réaction devient un meme.;JE-DETEST-CA;Jouer 30min symboliques;Tu sauves ta santé mentale, mais tu dois avouer à tes viewers qu'ils avaient... bah raison.;;PLOUF_COLERE;BACK_RUE_RUINE
