problem_id;phase_id_dep;title;problem_description;choice_a;outcome_a;popularity_a;creativity_a;familly_life_a;speed_a;choice_b;outcome_b;popularity_b;creativity_b;familly_life_b;speed_b;character_img_id;background_img_id
COMMENT_MECHANT;UPLOAD_CHRONIQUE_VIDEO;;Un viewer t’insulte gratuitement sous la vidéo de Resident Evil 6 car LUI avait aimé.;L’ignorer;Tu fais semblant que ça ne te touche pas. Mais tu rumines.;+1;-1;0;0;Répondre calmement;Tu poses une limite claire avec une réponse argumentée (qui reprends point par point la vidéo...). Mais il ne comprends rien et appelle d'autres fanboys...;-1;+1;0;0;FANBOY;BACK_MAISON
SPONSOR_EMAIL;UPLOAD_CHRONIQUE_VIDEO;;Une marque de boisson "Hol*" t’écrit pour sponsoriser ta prochaine vidéo d'analyse. Le mail est arrivé dans les spams.;Répondre dans la foulée;Tu assures le partenariat, mais tu dois bosser tard pour intégrer la pub avec Gros nounours qui bois trop de soda.;+1;0;0;-1;Laisser pour demain;Tu dors, mais le sponsor va peut-être se rétracter.;-1;0;0;+1;EDITOR;BACK_EDITEUR
UPLOAD_TOO_LATE;UPLOAD_CHRONIQUE_VIDEO;;Il est 18h mais il manque quelques sons au montage de $GAME.;Publier quand même;Tu assures la deadline, mais quelques blagues fonctionnent moins bien.;0;-1;0;+1;"When it's done";Tu fini la vidéo d'abord, la vidéo sort à 21h et tu stresses en pensant à l’algorithme de Youtube.;0;+1;0;-1;PLOUF;BACK_BUREAU
LAST_MINUTE_EDIT;UPLOAD_CHRONIQUE_VIDEO;;Tu te rends compte que tu as oublié une scène importante de $GAME.;Laisser comme ça;Tu publies. Mais tu sais que tu pouvais faire mieux.;0;-1;0;+1;La rajouter et republier;Tu offres une version plus complète. Les fans apprécient l’effort.;0;+1;0;-1;PLOUF_HESITE;BACK_BUREAU
LAUNCH_WEEK;UPLOAD_CHRONIQUE_VIDEO;;La sortie de la chronique $GAME est imminente, mais l'interface de youtube semble...cassée?;Uploader quand même la vidéo;La vidéo est prêt à 18h, mais... Youtube était bien cassée, la vidéo est en vitesse 1.5x.;0;-1;0;+1;Reporter l’upload à 19h;Tu attends un peu que Youtube revienne à un état normal, mais tu manques la sortie de 18h.;0;+1;0;-1;PLOUF_RETARD;BACK_CANAPE
PRAISE_THE_EMPIRE;UPLOAD_CHRONIQUE_VIDEO;;L'upload de ta chronique sur le très mauvais Star Wars Outlaws est remplacée par un fichié nommé "praise_the_empire.mp4";Accuser Ubisoft;Ta vidéo est un fiasco et la seule réponse d'Ubisoft est un GIF de Dark Vador se moquant de ton manque de "confiance" dans le côté obscur de l'industrie;-1;0;0;+1;Réuploader en mode "rebelle";Tu as changés ton mot de passe Youtube, et ton histoire de rebelle contre l'empire des Bretons fais un carton sur internet;+1;0;0;-1;PLOUF_JEU_MORT;BACK_EDITEUR
PODCAST_LAG;;;Le montage audio du podcast que t'a envoyé Pseudoless est bizarement buggé.;Appeler Pseudoless pour t’aider;Il te donne un fichier propre, ouf.;+1;0;0;-1;Tenter de changer le pitch;Le montage audio retrouve son timing prévu, mais ça sonne faux. Littéralement. Pseudo va être surpris.;-1;0;0;+1;PSEUDO;BACK_PODCAST
INDI_ALLEMAND;;;En testant la version Xbox d'Indiana Jones, tu découvres que le doublage FR est buggé sur ta machine;Attendre le patch;Tes abonnés mécontents du retard te rappelle que tu n'avais pas reculé devant zelda en Allemand, vive la résistance;+1;0;0;-1;Jouer en Allemand;Tu renommes ta chronique "Indiana Jones un der Plouf" et les blagues sur les nazis n'en sont que plus drôles, mais bizarrement d'actualités;-1;0;0;+1;PLOUF_DARK;BACK_BIBLIO
ASSASSIN_T;;;En testant Assassin Creed Shadow après un saut... disons audacieux, ton perso reste bloqué en T-pose.;L'intégrer tel quel;Tu prends la décision d'intégrer la pose dans toute ta chronique. Tu dois refaire beaucoup d'assets, mais le résultat est hilarant!;+1;0;0;-1;Passer sous silence;Tu n'en parles pas et tu peux utiliser tes assets habituels, mais le bug est tellement connu que tu te prends des attaques des anti-Ubisoft sur un prétendu accord avec Ubisoft pour taire ce bug;-1;0;0;+1;FANBOY;BACK_MAISON
MOM_SUPPORT;;;Ta mère passe te voir et t’aide à organiser ton bureau en bordel.;Laisser faire;Tu respires mieux dans ce nouvel espace et trouves une meilleure concentration.;0;+1;+1;0;Refuser;Tu refuses par fierté, et restes bloqué dans le désordre.;0;0;0;0;PLOUF;BACK_BUREAU
BOITE_A_SOUVENIRS;;;Madame retrouve une vieille boîte de dessins à toi.;L’explorer;Tu es ému, ça relance ton inspiration artistique.;0;+1;+1;0;L’ignorer;Tu n’as pas le temps, tu rates peut-être un déclic créatif qui t'aurais bien aidé sur $GAME.;0;0;0;0;MMEPLOUF;BACK_CUISINE
NEW_SPIDERMAN_ANIME;;;Mme Plouf te propose d'aller voir le dernier film d'animation Spiderman qui est très beau parait-il.;Dire oui;C'est super inspirant!;0;+1;+1;0;Dire non;Tu rates une bonne soirée, tu restes seul devant ton ordi face à $GAME.;0;0;0;0;MMEPLOUF;BACK_CANAPE
MESSAGE_MOTIVANT;;;Ta fille t’a laissé un mot “Tu es le meilleur papa du monde”.;Le garder sur le bureau;Tu travailles avec le sourire toute la journée.;0;+1;+1;0;Le mettre sur le tas;Tu le mets de côté et te reconcentres. Tu culpabilises ensuite.;0;0;0;0;PLOUF_FILLE;BACK_BUREAU
SOUTIEN_CREATION;;;Ta chère et tendre regarde ton dernier dessin et te donne un super retour constructif.;L’écouter;Tu ajustes quelques détails qui rendent le dessin bien meilleur.;0;+1;+1;0;Ignorer;Tu ignores les conseils, ton dessin sur $GAME reste bancal. Elle avait raison. Elle a souvent raison en fait.;0;0;0;0;MMEPLOUF;BACK_BUREAU
DOGMA_PION;;;Ton pion sur Dragon's Dogma 2 devient viral, tu ne savais pas trop ce que tu faisais, tu avais juste tenté de refaire Pseudoless un peu à l'arrache;Envoyer un email à Capcom;Capcom l'adore et le rajoute en micro transaction à Ace attorney, Madame adore son nouvel avocat!;0;+1;+1;0;Le supprimer;Pseudo n'avait pas encore eu le temps de le voir, et vu le résultat, valait mieux qu'il ne le voit pas en fait;0;0;0;0;PLOUF_DARK;BACK_RUE_RUINE
MEAL_BREAK;;;Il est 14h, tu n’as toujours pas mangé.;Se faire un tacos sur le pouce;Tu perds en énergie mais gagnes du temps.;0;-1;0;+1;Faire une vraie pause;Tu cuisines, tu te poses, tu repars frais.;0;+1;0;-1;PLOUF;BACK_CUISINE
TOO_MUCH_SCREEN;;;Tu commences à avoir mal aux yeux.;Boire un café;Tu fonces… droit dans la fatigue.;0;-1;0;+1;Faire une sieste;Tu dors 20 minutes. Renaissance.;0;+1;0;-1;PLOUF_FATIGUE;BACK_CUISINE
BURNOUT_FEELING;;;Tu sens que tu craques, mais tu veux finir ton planning.;Continuer coûte que coûte;Tu avances sur $GAME, mais à quel prix ? Tu t’effondres le soir venu. Les vacances sont encore loin?;0;-1;0;+1;Faire une pause;Tu te recentres, et retrouves un peu équilibre. Vivement les vacances ceci-dit!;0;+1;0;-1;PLOUF_DARK;BACK_CHAMBRE
PSEUDOLESS_DECIDE;;;Pseudoless t’annonce le jeu du podcast : il se venge enfin des podcast de Noël: Persona 5.;Commencer à y jouer tout de suite;Tu prends de l’avance, mais dit adieu à ta soirée (spoiler: et aux suivantes).;0;+1;0;-1;Tu supplie Pseudo de changer;Tu t'excuse ventre à terre pour tous les mois de décembre que tu lui as ... proposés. Dans sa grande bonté il t'excuse et change sur Resident Evil 4 pour se faire pardonner du stress (mais tu te dis que ça se trouve refaire le 6 en décembre ne serait pas une mauvaise idée en fait);0;-1;0;+1;PSEUDO;BACK_PODCAST
REHEARSE_SCRIPT;;;Tu bloques sur une phrase compliquée avec une blague sur le volcan Eyjafjallajökull.;Faire 15 prises;Tu t’énerves un peu, mais c’est fluide au final. Bon c'était pas la meilleure idée du sciècle en fait.;0;+1;0;-1;Changer la phrase;Tu vires ce fichu volcan. C’est plus clair, mais moins drôle.;0;-1;0;+1;PLOUF_COLERE;BACK_BUREAU
VALIX_TOTK;;;Juste avant la sortie de la vidéo sur Zelda TOTK, Valix te dit qu'il a un gros, gros doute sur la miniature prévue, il aimerait la refaire;Faire confiance à Valix;Valix sort de son travail en speed et passe toute la soirée à refaire la miniature. La nouvelle est juste MAGNIFIQUE, tu as eu raison de lui faire confiance;0;+1;0;-1;Prendre celle que tu as déjà;Tu trouves que celle prévue n'est "pas si mal" et tu sors la vidéo avec celle là. Personne ne clic sur la vidéo car ils n'ont pas reconnu Link. Ok, Valix avait clairement raison en fait;0;-1;0;+1;PLOUF_HESITE;BACK_CANAPE
TWITTER_THREAD;;;Un thread Twitter s’emballe sur l’un de tes propos sur $GAME.;Faire une vidéo réponse;Tu clarifies ta pensée, mais ça prend du temps.;+1;-1;0;0;Ignorer et continuer à créer;Tu restes focus, mais ton compte twitter se fait harceler de bots.;-1;+1;0;0;FANBOY;BACK_MAISON
DISCORD_SPAM;;;Ton serveur est envahi de bots pendant la nuit.;Tout modérer toi-même;Tu règles le souci mais perds ta matinée.;+1;-1;0;0;Demander à Léa et Valix;Tu délègues. Tu peux souffler mais on dirait qu'ils y ont été trop directement. Oups.;-1;+1;0;0;FANBOY;BACK_MAISON
TWITTER_DRAMA;;;Un influenceur te cite en se moquant d’un de tes dessins.;Répondre avec humour;Ta répartie fait mouche, et tu as gagné une grosse partie de ses abonnés. Mais ça t’a pompé.;+1;-1;0;0;Ignorer;Tu continues ta journée sans t'énerver.;-1;+1;0;0;PLOUF_COLERE;BACK_BUREAU
LITTLE_SUCCESS;;;Vidéo précédente atteint 200k vues !;Faire une annonce joyeuse;Tu savoures et partages la joie.;+1;-1;0;0;Garder la tête froide;Tu continues sans rien dire, concentré sur $GAME.;-1;+1;0;0;PLOUFMAN;BACK_PLOUFCAVE
TIKTOK_TREND;;;Un extrait d’une de tes vieilles chroniques (c'était sur Pokemon Ecarlate et Violet) devient viral.;Le commenter en short youtube;Tu surfes sur la vague et gagnes des abonnés.;+1;-1;0;0;Ignorer;Tu continues ta routine et focus sur $GAME.;-1;+1;0;0;PLOUFMAN;BACK_BUREAU
STREAM_IMPROMPTU;;;Un fan enthousiaste t’invite à participer à un stream collaboratif ce soir à 21h. Tu n'avais rien prévu, mais ça peut être cool.;Accepter le stream;Tu acceptes ! C'est fun, ça fait découvrir ta chaîne à d'autres, mais tu dors à 2h du mat.;+1;0;0;-1;Refuser poliment;Tu refuses. Dommage pour la visibilité, mais tu avance sur ton test.;-1;0;0;+1;PLOUF_HESITE;BACK_BUREAU
BOREALIS_EMAIL;;;Un salon de jeux indés à Vienne t’invite, mais ça va te prendre le week-end en entier.;Accepter;Tu découvres plein de pépites et des devs cools.;+1;0;0;-1;Refuser;Tu gagnes du temps pour ta vidéo.;-1;0;0;+1;PLOUF_HESITE;BACK_MAISON
FESTIVAL_COMICS;;;Un festival BD a lieu ce week-end dans ta ville.;Y aller;Tu rencontres des artistes, et ça t’inspire.;+1;0;0;-1;Rester bosser;Tu avances ton épisode, mais tu rates des moments uniques.;-1;0;0;+1;PLOUF;BACK_PLAGE
DEADLINE_MELTDOWN;;;Tu réalises que tu n’as plus de temps pour tout faire.;Continuer malgré tout;Tu forces le travail et as une fin de journée chaotique.;0;-1;0;+1;Prendre une pause;Tu récupères de l’énergie, mais tu manques des deadlines.;0;+1;0;-1;PLOUF_RETARD;BACK_BUREAU
INBOX_OVERLOAD;;;Ta boîte de réception explose, les différents ministères semblent avoir lancé un défi à celui qui t'envois le plus de relances.;Tout traiter;Tu y passes la soirée entière,  moins de charge mentale après mais le stream tombe à l'eau.;-1;0;0;+1;Laisser pour demain;Tu procrastines… et tu stresses, mais tu as le temps de streamer.;+1;0;0;-1;PLOUF_HESITE;BACK_CANAPE
HOUSE_WORK;;;Un artisan doit venir réparer une fuite chez toi à 14h alors que tu devais streamer les Game Awards.;T’attendre avec ton ordi;Tu bosses en l’attendant, mais streamer dans ces conditions c'est mort.;-1;0;0;+1;Décaler à demain;Tu réorganises ton planning pour demain, mais au moins le stream peu se faire aujourd'hui, mais dans la catégorie "Bath tub".;+1;0;0;-1;PLOUF;BACK_CUISINE
WALLPAPER_RAGE;;;Un abonné Tipeee ne comprends pas qu'il y ait un carré sur les fond d'écrans de $GAME.;Quel carré? mais lui offrir un dessin perso;Il devient ton fan ultime, les autres sont jaloux (dont l'auteur de ce jeu soit dit au passant).;+1;0;0;-1;Quel carré?;Tu lui renvois les mêmes wallpapers, tu ne vois pas de quel carré il parle.;-1;0;0;+1;FANBOY;BACK_MAISON
PATREON_LEAK;;;Un abonné a partagé votre podcast bonus réservé aux patreons payants.;Lui rédiger un long message privé;Il comprends son erreur, et ne recommencera pas.;+1;0;0;-1;Notifier Youtube directement;Tu gagnes du temps, mais il le prends très mal et spam toutes tes vidéos.;-1;0;0;+1;PLOUF_COLERE;BACK_BUREAU
VIP_REQUEST;;;Une contributeuse Tipeee veut que tu la plouffise, mais elle t'as envoyé une photo ... sans vétements.;Tu lui notifies son erreur gentiement;Elle s'excuse de s'être trompée de photo, mais t'en envois une autre... encore sans vètements.;+1;0;0;-1;Tu la montre à Mme Plouf;Elle te dit 5min après que le problème est réglé. Tu ne préfères pas savoir comment elle a fait, ou plutôt ce qu'elle a fait.;-1;0;0;+1;PLOUFMAN;BACK_PLOUFCAVE
FANFIC_GATE;;;Un abonné a écrit une fanfic Yaoi de toi & Pseudoless.;En faire la lecture ironique;Viralité assurée, gêne maximale.;+1;0;0;-1;Ignorer lourdement;Ton silence alimente les théories sur votre relation.;-1;0;0;+1;PSEUDO;BACK_PODCAST
MARIO_PARTY;;;Tu stream une partie de "Mario Party 12" de 4h avec Pseudoless, mais il est vachement plus doué que toi.;Arrêter après le premier tour où Pseudo\n avait déjà 3 étoiles et toi... 0;Vous arrétez le massacre, et vous swtichez sur un Mario Kart.;0;0;+1;0;Aller jusqu'au bout;Votre amitié et surtout ton ego en sortent ébranlés.;0;0;-1;0;PSEUDO;BACK_PODCAST
PSEUDO_STRIKE;;;Tu propose Bugsy 3D pour le podcast de décembre. Pseudoless menace de créer un syndicat et faire grève.;Ok pour l'émulateur;Tu lui dis que sur l'émulateur ça sera très bien, et surtout: il y a les sve states et le rewind;0;0;+1;0;Console d'origine sinon rien;Tu préfères que le jeu soit fait dans son jus, sur console d'origine. Point de save state donc...;0;0;-1;0;PLOUF_PUBG;BACK_PODCAST
WEBCAM_MAL;;;Ta webcam décide de faire la mise au point sur… ton poster Mario Bros, floutant ton visage.;Assumer et dire que c’est un hommage\n artistique;Le chat explose de rire, tu gagnes même un abonné cosplayé en Goomba.;+1;0;0;0;Essayer de réparer pendant 30min;Tout le monde se barre sauf un gars qui voulait juste “entendre ta voix”.;-1;0;0;0;PLOUF_HESITE;BACK_PODCAST
CHAT_INCRUSTE;;;Ton dragon saute sur ton clavier en plein stream sur $GAME et tape “mmmmmmmiouuuuuuuuufghh”.;Lui donner le micro;C’est le meilleur stream de ta chaîne, tu deviens “le streamer au dragon”.;+1;0;0;0;Le virer sans ménagement;Tu perds 500 abonnés en 3 min. Tous pro-dragons.;-1;0;0;0;cochon;BACK_PODCAST
GAMING_FAIL;;;Tu restes bloqué sur un saut qui te semble infaisable dans le tuto de Cup Head;Lancer un compteur “sauts ratés”;Tes viewers créent des fanarts de tes essais.;+1;0;0;0;Faire semblant d’avoir un bug de\n manette;Ton acting est si mauvais que le chat te décerne un “Oscar du mensonge”.;-1;0;0;0;PLOUF_COLERE;BACK_CANAPE
QUIZ_CATA;;;Tu réponds à un quiz “connaissez-vous bien la chaîne?” écrit par tes modos… et tu rates 3 réponses sur 5.;Assumer;Tu crées un nouveau mème sur ta mémoire défaillante.;+1;0;0;0;Couper le quiz en prétendant un bug Twitch;Ton audience se méfie de tous tes futurs quizs.;-1;0;0;0;PSEUDO;BACK_PODCAST
STREAM_ISAAC;;;Trend sur le net: poster une run d'Isaac. Ça ne prendra pas beaucoup de temps une petite run non?;Un uterus de maman et c'est fini\n (drôle de phrase);Tu découvres une nouvelle synergie entre le haricot péteur et Sacred Heart.\nPersonne n'y avait pensé avant toi.;+1;0;0;0;Arrière démon!;Tu annonces que JAMAIS tu ne retoucheras à Isaac. ... non JAMAIS j'ai dit!;-1;0;0;0;PLOUF_COLERE;BACK_CANAPE
SUPERMAN_SLIP;;;En dessinant une chronique sur Suicide Squad tu réalises que les loot sont si moches que tu les changes en slip de Superman;Publier tel quel;Warner voulait justement mettre en avant le côté humour du titre, ils adorent ta chronique et t'envois un sac remplis de goodies;+1;0;0;0;Lancer un concours "redesign";Les participants vont beaucoup trop loin et on arrive avec un Baman grimé en Harley, Warner n'aime pas qu'on maltraite ainsi son seul perso encore bankable. Pseudo a même préféré prendre des congés après ce choc visuel;-1;0;0;0;PLOUFMAN;BACK_PLOUFCAVE
ELEPHANT_POWER;;;Le powerup éléphant dans Mario Wonder casse même les plateformes, tu n'arrives pas à finir les niveaux.;Créer un mod "no-elephant";Nintendo supprime ton mod en moins d'une heure (à croire qu'ils te surveillent), mais tu es un héro sur le net;+1;0;0;0;Speedrun 100% éléphant;Tu finis dernier du classement, derrière sa fille qui ne connaissait même pas ce jeu;-1;0;0;0;PLOUF_HESITE;BACK_CANAPE
DEBOIRE_XBOX;;;Ta vidéo sur les déboires de Xbox génère des réactions passionnées. Phil Spencer a liké un de tes tweets;Accepter son invitation Discord;Vous avez un échange cordial et a attiré un max de monde sur ton Discord;+1;0;0;0;Faire un live "Xbox RIP";Tu fais un live où tu enterres littéralement ta Xbox Series X dans ton jardin. La commu Xbox est furieuse et s'organise pour trouver ton addresse et sauver ta pauvre console de son sort;-1;0;0;0;FANBOY;BACK_MAISON
GEOFF_LIE;;;Pendant le Summer game fest, Geoff annonce un jeu avec des images "in game" trop belles pour être honnêtes (genre Geoff pourrait mentir?);Lancer un bingo "bullshit" en direct;Les fans adorent ta franchise, Geoff un peu moins mais bon, tu n'avais pas trop l'intention d'aller à sa sauterie de toute manière;+1;0;0;0;Faire semblant d'y croire;Pseudoless te traite de vendu pendant toute la semaine;-1;0;0;0;EDITOR;BACK_EDITEUR
STARFIELD_EXCLU;;;Xbox annonce une exclu Starfield ... de 6 mois;Minute de silence satirique;Tu fais une minute de silence pour la mort de l'audace de Xbox, les viewers rigolent bien et font de même sur le chat;+1;0;0;0;Monter un trailer PS5 et le poster;Ton trailer fait le buzz, l'industrie n'aime pas qu'on se moque ouvertement d'elle. Désormais même Phil Spenser te déteste dans le milieu des éditeurs;-1;0;0;0;EDITOR;BACK_EDITEUR
MGS5;;;Les fans réclament un MGS5 après un mois d'octobre Konami qui était déjà ultra chargé;Le faire en live;Tu montres un peu tes talents de sniper devant le chat en extase;+1;0;0;0;Vendre le podcast en "DLC";La chat est furieux et te critique, sortent des hastag DROP_THE_PRICE_MGS5 pour se plaindre du prix. Bon ils achettent tout de même, mais ils ne sont pas content hein.;-1;0;0;0;FANBOY;BACK_MAISON
PROCASTINATION;;;Tu crées un plan pour ton mois productif… et passes 4h à choisir une police pour le titre sur $GAME;Publier le résultat comme modèle de\n “procrastination productive”;Ton tweet buzz et tu gagnes des abonnés… mais tu n’as toujours rien fait.;0;0;0;-1;Tout jeter et revenir au post-it;Ta to-do tient en 3 mots : “faire la chose”. Et ça marche.;0;0;0;+1;PLOUF_HESITE;BACK_BUREAU
TOOCOFFEE;;;Tu bois un café oublié de la veille pour tenir une nuit de montage sur $GAME;Vomir et prendre un vrai jour off;Tu retrouves un rythme humain. Et ton estomac te remercie.;0;0;0;-1;Assumer et faire un vlog “trip caféiné”;Tu montes 2 vidéos et repeins la cuisine à 4h du mat. En tremblant.;0;0;0;+1;PLOUF_FATIGUE;BACK_CUISINE
OUPS_RDV;;;Tu t’es booké une interview Discord avec un studio et une livraison de donuts, le même jour, même heure.;Annuler l’interview;Ton excuse est tellement nulle que tu deviens un mème chez les studios de dev.;0;0;0;-1;Faire les deux en même temps;Tu interroges un développeur indé en tenant une boîte de nuggets. Ça tombe bien, il développait un jeu de gestion de magasin, ça lui donne des idées!;0;0;0;+1;PLOUF;BACK_CUISINE
PC_OVERLOAD;;;Tu lances un render, un upload, un montage et un script en même temps. Et ton PC est à l'agonie.;Tout fermer et ne garder qu’un truc;Ton PC survit, mais le rendu prenant des heures, tu perds ton aprem.;0;0;0;-1;Mettre une musique épique et appeler\n ça “mode super-sayan”;Ca sent le cramé dans toute la pièce au bout de 2h, tu te dis qu'il faudrait revoir le cooling de ton ordi un jour, ou l'utiliser pour cuire des cotelettes.;0;0;0;+1;PLOUF;BACK_BUREAU
FTL;;;Tu te trompes d'icone sur le bureau, et lances FTL par erreur.;Tu fermes le jeu immédiatement;... bon après 5min, juste le temps d'écouter un peu cette musique. Haaaaaa quelle musique....;0;0;0;-1;Non mais juste une petite run orientée\n abordage, c'est rapide ça;Tu te demandes encore comment tes deux mantis ont pu perdre contre un seul Engi, tu dois donc relancer une autre run alors que tu étais arrivé au secteur 7.;0;0;0;+1;PLOUF_FTL;BACK_CANAPE
LOST_CARDS;;;La Poste a perdu 10 cartes postales pour les tipeee;Faire semblant d'avoir raté l'alerte;Les tipeeurs sont tristes de ne pas pouvoir envoyer de carte postales à leur famille avec Monsieur Plouf dessus;-1;0;0;+1;Relancer de suite;Tu te débats dans les méandres de la Poste, mais ils arrivent à retrouver les colis, ça t'as juste pris plus de 4h au téléphone...;+1;0;0;-1;PLOUF_COLERE;BACK_PLOUFCAVE
WHAT_REMAINS_OF_2024;;;Tu penses faire une vidéo "Que reste-t-il de 2024?" avec une review de 12 jeux d'un coup;Reprendre les jeux déjà chroniqués;Pour gagner du temps tu repioches dans les jeux que tu as déjà chroniqués, mais le public s'attendais à de l'innatendu;-1;0;0;+1;12 jeux originaux sinon rien;Tu pioches dans 12 jeux dont tu n'avais pas parlé jusque qu'ici. Mais tu dois reprendre des captures des jeux et c'est super long;+1;0;0;-1;PLOUF_HESITE;BACK_CANAPE
UBI_FORWARDE_GAME;;;Le stream Ubi Forward commence et avec Pseudoless vous faites un bingo game basés sur le nombre de "live service" prononcés;Parier une écriture de vidéo;Toutes les 10 prononciations vous faites une vidéo en plus. En une soirée, votre planning est plein pour l'année!;-1;0;0;+1;Parier à boire;Vous faites un jeu à boire. Le public est content de vous voir littéralement rouler sous vos bureaux au bout de 30min, mais vous n'avez plus 20ans, et le reste de la semaine est très, très rude;+1;0;0;-1;PLOUF_SALE;BACK_PODCAST
KONAMI_CASINO;;;Konami revient avec un trailer de jeu de caniso en ligne Silent hill;Twitter "Comment tuer une franchise";Konami n'a pas apprécié la blague, et te blackliste désormais. Enfin encore plus qu'avant;-1;0;0;+1;Créer un faux trailer MGS6;Tu passes du temps à créer un super trailer sur un MGS6, les fans adorent, et filent harceler Konami pour l'avoir.;+1;0;0;-1;EDITOR;BACK_EDITEUR
OUTER_WILDS;;;Tu te réveilles en pleine nuit la veille de la sortie de la vidéo: tu as donné le nom "Outer Worlds" à Valix pour la miniature au lieu de "Outer Wilds"!;Tu fais ton David Goodenough;Bon les deux sont dans l'espace, oublies que tu as aucune chance, sur un malentendu ça passe;-1;0;0;+1;Prévenir Valix à l'arrache;Valix ne panique pas mais ça va prendre du temps de la refaire, mais le résultat est magnifique;+1;0;0;-1;PLOUF_HESITE;BACK_CHAMBRE
